cluster,num_flights,centroid_id,mean_vertical_rate,mean_final_altitude,mean_groundspeed,mean_duration,mean_distance,mean_final_latitude,mean_final_longitude,max_rwy,max_rwy_flights,idd_max_rwy,idd_max_rwy_flights
1,145,AUA3SV_1122,1761.1696551724137,33703.793103448275,363.7834800433606,1131.2137931034483,214.19232541693506,51.30356142812135,6.906943115916968,36L,97,18L,755
0,379,DLH4UX_557,1817.32981530343,32940.43535620053,368.29957335628126,1071.3878627968338,204.92890790990046,51.21090266156625,6.966569420785203,18L,217,18L,755
3,257,EIN60R_1659,1702.873151750973,34326.167315175095,354.48816684998377,1183.307392996109,217.57280633687537,53.0938030409717,2.0773810732884246,24,148,18L,755
4,200,EIN611_1579,1746.832,34002.0,356.61798727938316,1147.455,212.69339059894781,53.136126010700806,2.0197992699887575,36L,195,18L,755
5,13,EIN84X_1515,1798.030769230769,34925.0,366.27916920373497,1140.2307692307693,217.64497887794312,51.81124955516751,2.028661398778586,36L,13,18L,755
10,8,EZY16MH_978,1485.6000000000001,32015.625,331.7078088924147,1250.875,215.33507888014154,53.03429147752665,2.0153656005859375,24,7,18L,755
9,17,ITY109_1534,1716.8000000000002,33722.05882352941,366.2576865578763,1139.6470588235295,217.7435363245986,50.69653545467114,5.761838588502335,36L,17,18L,755
8,87,ITY121_1784,1751.319540229885,34721.26436781609,360.35050489425663,1163.8045977011495,217.7602460640471,50.52064506133908,5.878274776986215,18L,51,18L,755
2,1112,VLG41JT_193,1682.5225419664268,33573.58363309353,356.5868432029341,1175.663669064748,217.45506387075326,50.54471606857064,3.7931273226246724,18L,452,18L,755
6,45,VLG8379_316,1829.2622222222217,34584.444444444445,347.24562890860614,1122.6,202.1999272053082,51.78804776466498,2.0150696363739575,24,20,18L,755
7,18,VLG98RR_135,1715.7333333333336,32494.444444444445,372.8216396433977,1119.5,218.0307028560247,51.75659425379867,2.043574450610278,36L,18,18L,755
