cluster,num_flights,centroid_id,mean_vertical_rate,mean_final_altitude,mean_groundspeed,mean_duration,mean_distance,mean_final_latitude,mean_final_longitude,max_rwy,max_rwy_flights,idd_max_rwy,idd_max_rwy_flights
0,550,DLH3A_603,1844.0959999999998,33125.72727272727,369.0315624408974,1061.92,203.4276502000028,51.22905616701476,6.969619810961974,18L,319,18L,1062
4,381,EIN60Y_1710,1706.914435695538,34376.017060367456,353.35410557398154,1185.4146981627296,217.28671001219317,53.09439056164334,2.077698224738114,24,238,18L,1062
5,294,EIN611_1579,1745.8231292517007,33956.80272108843,357.352349491324,1146.0816326530612,212.9072535226797,53.13745467912693,2.02186723165131,36L,288,18L,1062
7,91,EIN84T_1587,1815.3318681318683,34149.17582417582,347.5112335702181,1117.7582417582419,201.33325314855708,51.77904320793413,2.0167396943890563,24,57,18L,1062
6,63,EIN84X_1515,1726.0444444444445,33077.380952380954,368.2610530811649,1133.4603174603174,217.28894286177498,51.78448857021871,2.037283773317622,36L,63,18L,1062
8,9,EJU42KM_1219,2160.5333333333333,31294.444444444445,350.6002189820135,853.3333333333334,155.2285697307962,52.35338286491437,6.981814187670512,18L,7,18L,1062
10,6,EJU5284_1390,2288.7999999999997,32925.0,359.3318500926313,838.6666666666666,157.34139097322225,52.31476256806972,6.986630394345238,18L,5,18L,1062
9,14,EZS39RG_1538,1821.8285714285716,36069.642857142855,359.22646618990365,1162.357142857143,216.88277492925073,51.04629608967114,6.955212037075441,18L,14,18L,1062
11,15,EZY84JU_960,1484.1600000000003,32006.666666666668,330.11726261590087,1261.3333333333333,215.5066083043986,53.042491899910615,2.0249014718191964,24,13,18L,1062
3,167,ITY113_1804,1765.4419161676649,34555.838323353295,364.1866803586941,1152.3952095808384,217.83186591270672,50.54893545531917,5.857516499871725,18L,78,18L,1062
12,8,SAS62L_1257,1917.8000000000002,36487.5,369.72761234697896,1127.875,216.90907563881348,53.63915246219958,6.986669396152015,36L,8,18L,1062
1,207,TRA6875_1499,1772.15845410628,33697.10144927536,365.04877055193225,1124.4057971014493,213.3891163636137,51.313215993657735,6.914762264599859,36L,130,18L,1062
2,1541,VLG12BR_219,1686.6877784988105,33651.36275146009,357.0570537356597,1175.40233614536,217.51217766983626,50.54248740962858,3.7938373626976007,18L,598,18L,1062
