ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-75293.78957778763,57047.54534933661,30.4800000635645,52.31661636450146,4.746295637628894,100.0,0.5,330.63,3500.0,125.68,34.99,77965.0,107773.0,AUA3SV_1122,0.04859445535249152
20.0,-72550.53676568095,55077.43035931086,386.1782896730812,52.29926990249748,4.787074766177081,1267.0,0.5469,360.19,3500.0,126.57,34.05,77931.0,100349.0,AUA3SV_1122,0.05013589083604055
40.0,-69593.17488550511,52883.18248425217,741.8765793357456,52.279921099042475,4.8310154765454145,2434.0,0.5932,389.08,3500.0,126.57,32.95,77898.0,93645.0,AUA3SV_1122,0.042326111288741475
60.0,-66396.5811376687,50511.43382751781,1097.5748690287928,52.258988777939706,4.878467564151883,3601.0,0.6378,416.66,3500.0,126.57,31.75,77866.0,87673.0,AUA3SV_1122,0.03552877587616253
80.0,-62971.702903499434,47970.30693105967,1453.273158741752,52.236540491106176,4.929258736300891,4768.0,0.6803,442.54,3500.0,126.57,30.5,77836.0,82394.0,AUA3SV_1122,0.02985074786776814
100.0,-59332.7626074018,45270.35428250445,1808.9714484688125,52.21266528249804,4.983168174008105,5935.0,0.7201,466.51,3500.0,126.57,29.27,77806.0,77750.0,AUA3SV_1122,0.026104450977724666
120.0,-55495.62897027399,42423.34985765207,2164.669738206436,52.187463147847375,5.039951004429625,7102.0,0.7572,488.52,3500.0,126.57,28.08,77778.0,73666.0,AUA3SV_1122,0.02318058750808183
140.0,-51476.555223516596,39441.352924182305,2520.3680279523774,52.161036849584,5.099357214404875,8269.0,0.7918,508.63,3500.0,126.57,26.96,77751.0,70069.0,AUA3SV_1122,0.0214377234679132
160.0,-47291.28723011631,36336.04630207195,2876.0663177051706,52.13348611276398,5.161144976259452,9436.0,0.82,524.52,3500.0,126.57,25.99,77725.0,67148.0,AUA3SV_1122,0.020650645477786028
180.0,-42974.736106846845,33133.33268671986,3231.7646074587537,52.105037389254406,5.224790843294824,10603.0,0.82,522.27,3500.0,126.57,25.89,77700.0,66866.0,AUA3SV_1122,0.019069011831789558
200.0,-38676.90505559407,29944.508639465355,3587.4628972096725,52.07667804362542,5.288080021504876,11770.0,0.82,520.0,3500.0,126.57,25.98,77674.0,67103.0,AUA3SV_1122,0.016971235031588722
220.0,-34397.875967205015,26769.63492009982,3943.1611869575027,52.048409137670625,5.35101244679177,12937.0,0.82,517.73,3500.0,126.57,26.03,77648.0,67252.0,AUA3SV_1122,0.014714709869255906
240.0,-30137.731816633186,23608.77309278871,4298.8594767018085,52.02023173882381,5.413588038660215,14104.0,0.82,515.44,3500.0,126.57,26.05,77622.0,67313.0,AUA3SV_1122,0.013240033526226661
260.0,-25896.55668707403,20461.98554397049,4654.55776644214,51.99214692034565,5.475806699887818,15271.0,0.82,513.15,3500.0,126.57,26.04,77595.0,67283.0,AUA3SV_1122,0.01223848525867553
280.0,-21674.435794855694,17329.33550082337,5010.256056178046,51.9641557615155,5.537668316186356,16438.0,0.82,510.84,3500.0,126.57,26.0,77569.0,67165.0,AUA3SV_1122,0.011568887430062577
300.0,-17471.455515115427,14210.887050323503,5365.954345909073,51.936259347828035,5.599172755854499,17605.0,0.82,508.53,3500.0,126.57,25.93,77544.0,66957.0,AUA3SV_1122,0.01139393675452223
320.0,-13287.703408304167,11106.705158905897,5721.652635634782,51.908458771193324,5.660319869424437,18772.0,0.82,506.2,3500.0,126.57,25.82,77518.0,66661.0,AUA3SV_1122,0.011489418792273368
340.0,-9123.268247545566,8016.855692763423,6077.350925354751,51.88075513013299,5.72110948931518,19939.0,0.82,503.86,3500.0,126.57,25.69,77492.0,66278.0,AUA3SV_1122,0.008874806239515946
360.0,-4978.240046887543,4941.405438807919,6433.049215068589,51.85314952991946,5.781541429578006,21106.0,0.82,501.52,3500.0,126.57,25.53,77467.0,65807.0,AUA3SV_1122,0.0
380.0,-852.7100904838319,1880.4221263215281,6788.747504775961,51.82564308137401,5.841615487217569,22273.0,0.82,499.16,3500.0,126.57,25.34,77441.0,65251.0,AUA3SV_1122,0.0
400.0,3253.2290372546386,-1166.0255506724359,7144.445794476595,51.79823683461436,5.901331379786506,23440.0,0.82,496.79,3500.0,126.57,25.12,77416.0,64613.0,AUA3SV_1122,0.0
420.0,7339.483420496926,-4197.867910288135,7500.144084170326,51.77093196403783,5.960688855919023,24607.0,0.82,494.4,3500.0,126.57,24.86,77391.0,63895.0,AUA3SV_1122,0.0
440.0,11405.957779773715,-7215.034258872644,7855.842373857103,51.74372963019381,6.019687712980859,25774.0,0.82,492.01,3500.0,126.57,24.58,77367.0,63099.0,AUA3SV_1122,0.0
460.0,15452.555439841994,-10217.452867163007,8211.540663528016,51.71663097583879,6.078327667168839,26941.0,0.8182,488.56,3025.0,126.57,24.28,77342.0,62270.0,AUA3SV_1122,0.0
480.0,19474.4409981219,-13201.536053896447,8518.96267906454,51.689668927321705,6.136539886473724,27949.0,0.8197,487.35,2525.0,126.57,23.97,77318.0,61425.0,AUA3SV_1122,0.0
