ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-76407.08710690812,58250.731510120946,30.4800000024658,52.31661631066727,4.746295545131111,100.0,0.5,330.63,3500.0,125.83,35.49,74294.0,107773.0,DLH3A_603,0.08606048506049173
20.0,-73629.75812466939,56245.23419935045,391.2786963738437,52.29896184315792,4.7875898575267275,1284.0,0.5536,364.6,3500.0,126.74,34.42,74260.0,99571.0,DLH3A_603,0.08118526348254243
41.0,-70599.37771597688,53983.55793834044,752.0773941827748,52.2790219240381,4.832624507674351,2467.0,0.6062,397.57,3500.0,126.74,33.16,74227.0,92268.0,DLH3A_603,0.06778927370294378
61.0,-67292.64179487358,51515.62781348558,1112.876092868926,52.25724405689569,4.881719858778873,3651.0,0.6564,428.7,3500.0,126.74,31.79,74195.0,85865.0,DLH3A_603,0.05616487626250857
81.0,-63725.1682750512,48853.100317914475,1473.6747921458286,52.23372618651746,4.93463233856701,4835.0,0.7034,457.5,3500.0,126.74,30.39,74165.0,80304.0,DLH3A_603,0.04759261165380558
101.0,-59916.643689919845,46010.66818475797,1834.4734918442766,52.208593156558194,4.991058196680163,6019.0,0.7469,483.75,3500.0,126.74,29.04,74136.0,75496.0,DLH3A_603,0.0419907716349054
122.0,-55888.42040535326,43004.26741456844,2195.272191859554,52.18198105625386,5.050669577569328,7202.0,0.7869,507.47,3500.0,126.74,27.75,74108.0,71338.0,DLH3A_603,0.03900451096305208
142.0,-51661.76653802956,39849.77112947282,2556.0708921262803,52.15402578809214,5.11314072645766,8386.0,0.82,526.54,3500.0,126.74,26.64,74081.0,67974.0,DLH3A_603,0.03775544179876755
162.0,-47275.63844356173,36576.25378875304,2916.869592436012,52.12498090739304,5.177886002116906,9570.0,0.82,524.26,3500.0,126.74,26.33,74055.0,67043.0,DLH3A_603,0.03658037665218022
183.0,-42908.65730877143,33317.02648912535,3277.66829265326,52.09602764288768,5.242264804627526,10754.0,0.82,521.98,3500.0,126.74,26.28,74029.0,66901.0,DLH3A_603,0.03248080059060927
203.0,-38560.907448918384,30072.152156340384,3638.4669927617097,52.067167097786154,5.306277087657851,11937.0,0.82,519.68,3500.0,126.74,26.36,74002.0,67129.0,DLH3A_603,0.028717795875549203
223.0,-34232.474301800445,26841.694556180344,3999.2656927441026,52.03840038113873,5.3699227878167015,13121.0,0.82,517.37,3500.0,126.74,26.4,73976.0,67267.0,DLH3A_603,0.025393777892851792
244.0,-29923.444455764675,23625.718309402277,4360.064392582277,52.00972860799731,5.43320182426823,14305.0,0.82,515.05,3500.0,126.74,26.42,73949.0,67314.0,DLH3A_603,0.024014950961837683
264.0,-25633.905672910303,20424.288914804696,4720.863092257241,51.98115289965084,5.496114098418046,15488.0,0.82,512.72,3500.0,126.74,26.4,73923.0,67268.0,DLH3A_603,0.02303860600163794
284.0,-21363.94691680751,17237.47276798633,5081.66179174926,51.95267438382135,5.558659493536048,16672.0,0.82,510.38,3500.0,126.74,26.36,73897.0,67131.0,DLH3A_603,0.02226815229865765
304.0,-17113.658380176577,14065.337181980478,5442.4604910380085,51.92429419487673,5.620837874383067,17856.0,0.82,508.03,3500.0,126.74,26.28,73870.0,66901.0,DLH3A_603,0.021602223097500158
325.0,-12883.13151347472,10907.950408577524,5803.259190102795,51.89601347404673,5.682649086831423,19040.0,0.82,505.66,3500.0,126.74,26.17,73844.0,66581.0,DLH3A_603,0.02100161491345722
345.0,-8672.459054434645,7765.381660358087,6164.057888922894,51.86783336963307,5.744092957495851,20223.0,0.82,503.29,3500.0,126.74,26.03,73818.0,66171.0,DLH3A_603,0.011020836405568814
