ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-76224.47970235925,54836.073962344366,30.480000037894477,52.316616321272654,4.746295812524508,100.0,0.5,330.63,3500.0,124.26,34.75,75326.0,107773.0,AUA3NA_1248,0.038262560229191785
20.0,-73452.2082660949,52947.93360799031,383.72913060189876,52.30001562697095,4.787489122953399,1259.0,0.5508,362.76,3500.0,125.16,33.75,75292.0,99927.0,AUA3NA_1248,0.03423995046008393
40.0,-70440.73226234679,50826.841623152766,736.9782612196947,52.281336570958246,4.832216478793151,2418.0,0.6007,394.03,3500.0,125.16,32.58,75260.0,92896.0,AUA3NA_1248,0.028807424598071778
60.0,-67167.4474595217,48521.348172349935,1090.2273918712517,52.26101446746065,4.880789532791669,3577.0,0.6486,423.7,3500.0,125.16,31.31,75228.0,86688.0,AUA3NA_1248,0.02515830271281826
79.0,-63645.93112281036,46041.01623146794,1443.4765225460235,52.23912899252527,4.932996444358704,4736.0,0.6937,451.31,3500.0,125.16,30.01,75198.0,81256.0,AUA3NA_1248,0.0232128484521631
99.0,-59893.49262752495,43398.03742263272,1796.7256532376016,52.21578306952621,4.988570141901982,5895.0,0.7357,476.66,3500.0,125.16,28.72,75170.0,76522.0,AUA3NA_1248,0.023051915437028628
119.0,-55929.132132801664,40605.79424844161,2149.974783941882,52.19109034620643,5.047218950132488,7054.0,0.7745,499.73,3500.0,125.16,27.5,75142.0,72398.0,AUA3NA_1248,0.02219573674066301
139.0,-51772.01236470556,37677.78371326963,2503.22391465622,52.16516579506598,5.108649465433493,8213.0,0.8103,520.62,3500.0,125.16,26.36,75116.0,68796.0,AUA3NA_1248,0.02143442113845701
159.0,-47440.42338604631,34626.88817303267,2856.473045378911,52.1381193223233,5.172581999906608,9372.0,0.82,524.65,3500.0,125.16,25.83,75090.0,67197.0,AUA3NA_1248,0.02083781368889977
179.0,-43075.223228647425,31552.319058674606,3209.7221760997236,52.110828056344275,5.2369320769791035,10531.0,0.82,522.41,3500.0,125.16,25.71,75064.0,66848.0,AUA3NA_1248,0.018304686940253955
199.0,-38728.81395403043,28490.98504648217,3562.9713068164688,52.08361951391026,5.300926878070491,11690.0,0.82,520.16,3500.0,125.16,25.79,75038.0,67089.0,AUA3NA_1248,0.01586083226472988
219.0,-34401.2771488903,25442.94360085433,3916.22043752852,52.0564947322602,5.364566288905868,12848.0,0.82,517.9,3500.0,125.16,25.84,75013.0,67244.0,AUA3NA_1248,0.013650230882664802
238.0,-30092.69547186214,22408.252941205446,4269.4695682352185,52.02945475390539,5.427850179408187,14007.0,0.82,515.63,3500.0,125.16,25.87,74987.0,67311.0,AUA3NA_1248,0.012545594368568213
258.0,-25803.152677200716,19386.972058641626,4622.718698935891,52.00250062680398,5.490778403369985,15166.0,0.82,513.35,3500.0,125.16,25.86,74961.0,67290.0,AUA3NA_1248,0.01177082189558064
278.0,-21532.733639198486,16379.160733157947,4975.967829629837,51.97563340454024,5.553350798116305,16325.0,0.82,511.07,3500.0,125.16,25.82,74935.0,67180.0,AUA3NA_1248,0.01121748558273241
298.0,-17281.524377372665,13384.879551377402,5329.2169603163575,51.94885414650823,5.6155671841594295,17484.0,0.82,508.77,3500.0,125.16,25.76,74909.0,66983.0,AUA3NA_1248,0.011031623545180402
318.0,-13049.612082452806,10404.189924854016,5682.46609099475,51.92216391809824,5.6774273648485165,18643.0,0.82,506.46,3500.0,125.16,25.66,74884.0,66698.0,AUA3NA_1248,0.010986733791942887
338.0,-8837.085143202014,7437.1541089632965,6035.715221664315,51.8955637908777,5.73893112602935,19802.0,0.82,504.14,3500.0,125.16,25.53,74858.0,66327.0,AUA3NA_1248,0.009939084605244772
358.0,-4644.033174106433,4483.835222404263,6388.964352324396,51.869054842701395,5.800078235823104,20961.0,0.82,501.81,3500.0,125.16,25.38,74833.0,65870.0,AUA3NA_1248,0.0
377.0,-470.5470439692971,1544.2972673387878,6742.21348297437,51.84263815564183,5.860868446790986,22120.0,0.82,499.47,3500.0,125.16,25.19,74807.0,65329.0,AUA3NA_1248,0.0
397.0,3683.2810945523656,-1381.3948498051036,7095.462613613717,51.81631474385149,5.921301420617339,23279.0,0.82,497.11,3500.0,125.16,24.98,74783.0,64707.0,AUA3NA_1248,0.0
417.0,7817.357774428321,-4293.17529683774,7448.711744241992,51.790085769918115,5.981376885227462,24438.0,0.82,494.75,3500.0,125.16,24.73,74758.0,64004.0,AUA3NA_1248,0.0
437.0,11931.588182710859,-7190.977293590425,7801.960874858932,51.763952356467094,6.041094581463193,25597.0,0.82,492.37,3500.0,125.16,24.45,74733.0,63225.0,AUA3NA_1248,0.0
457.0,16025.876127920876,-10074.733088944655,8155.210005464461,51.73791561649416,6.100454182330126,26756.0,0.82,489.99,3500.0,125.16,24.15,74709.0,62371.0,AUA3NA_1248,0.0
477.0,20100.124010276333,-12944.373939863328,8508.459135906764,51.71197667094503,6.159455339650034,27915.0,0.8183,486.55,3500.0,125.16,23.83,74685.0,61485.0,AUA3NA_1248,0.0
497.0,24145.569346941185,-15793.728111273325,8861.708266353504,51.68619189880389,6.217972439714255,29074.0,0.8141,481.69,3500.0,125.16,23.5,74662.0,60569.0,AUA3NA_1248,0.0
517.0,28150.29220751686,-18614.39996303392,9214.957396810825,51.66063808345007,6.275834841241527,30233.0,0.8076,475.44,3500.0,125.16,24.36,74637.0,62956.0,AUA3NA_1248,0.0
536.0,32102.711982017125,-21398.232850701428,9568.206527285114,51.63539016726985,6.332877554705108,31392.0,0.7978,467.32,3046.0,125.16,23.73,74614.0,61221.0,AUA3NA_1248,0.0
