ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-76407.08707006753,58250.731448857965,30.48000001167079,52.31661631012152,4.746295545686988,100.0,0.5,330.63,3500.0,125.83,35.52,74294.0,107773.0,DLH3A_603,0.08606048498672815
20.0,-73626.98495995376,56243.231648482506,391.63970362695227,52.29894420742406,4.787631073481112,1285.0,0.5537,364.63,3500.0,130.83,34.45,74260.0,99564.0,DLH3A_603,0.08117732470466259
41.0,-70762.83668020484,53768.094857958866,752.7994076104144,52.277063460704376,4.830267444968703,2470.0,0.6063,397.64,3500.0,135.61,33.19,74227.0,92253.0,DLH3A_603,0.06758768174284362
61.0,-67873.16321083748,50816.036812856044,1113.959111667382,52.250881939545984,4.873332884355963,3655.0,0.6565,428.8,3500.0,132.35,31.82,74195.0,85845.0,DLH3A_603,0.0556525743498021
81.0,-64579.31996316184,47813.585801531306,1475.1188157421475,52.224279105799276,4.922290268148656,4840.0,0.7036,457.61,3500.0,128.45,30.42,74164.0,80283.0,DLH3A_603,0.046964117051356884
102.0,-60852.746515642866,44854.98057793566,1836.2785198239994,52.19809822020272,4.977529679426484,6025.0,0.7472,483.88,3500.0,124.64,29.06,74135.0,75473.0,DLH3A_603,0.04141882778484906
122.0,-56711.99307798298,41994.34056949718,2197.438223911478,52.172815236214014,5.03876057384341,7209.0,0.7871,507.61,3500.0,122.1,27.77,74108.0,71314.0,DLH3A_603,0.038694896799391476
142.0,-52238.417033271246,39188.345962755615,2558.5979280014276,52.148023586170396,5.104790901117954,8394.0,0.82,526.53,3500.0,120.75,26.67,74081.0,67967.0,DLH3A_603,0.03760884837274831
163.0,-47530.18780236799,36387.52059638054,2919.7576320553803,52.12326184481795,5.174183945764724,9579.0,0.82,524.25,3500.0,121.34,26.35,74055.0,67036.0,DLH3A_603,0.036714563001659165
183.0,-42871.705635182865,33550.469928196195,3280.917336053801,52.0981298231945,5.2427762131267555,10764.0,0.82,521.96,3500.0,123.65,26.31,74028.0,66904.0,DLH3A_603,0.03247027198386966
203.0,-38351.32513578608,30541.360395682295,3642.0770400005968,52.071401203618,5.309290083144761,11949.0,0.82,519.65,3500.0,126.02,26.38,74002.0,67132.0,DLH3A_603,0.02864746029460265
223.0,-33978.59535719182,27362.353970659362,4003.2367439021587,52.04309828888176,5.373582402473295,13134.0,0.82,517.34,3500.0,127.35,26.43,73975.0,67269.0,DLH3A_603,0.025410159558959932
244.0,-29700.0455370827,24097.522190114916,4364.3964477640175,52.01398356973989,5.436424634834039,14319.0,0.82,515.02,3500.0,127.72,26.45,73949.0,67314.0,DLH3A_603,0.024008200844416825
264.0,-25462.315621453345,20819.5612536452,4725.556151587143,51.984715518824935,5.498590009195701,15504.0,0.82,512.69,3500.0,128.37,26.43,73923.0,67267.0,DLH3A_603,0.02301670085062034
284.0,-21281.189775745574,17508.996771069316,5086.71585537123,51.95511941146487,5.559850170996913,16689.0,0.82,510.35,3500.0,128.19,26.38,73896.0,67128.0,DLH3A_603,0.022276672521586143
305.0,-17109.048016389424,14226.748828109003,5447.8755591161425,51.92574593717808,5.620897040671361,17874.0,0.82,507.99,3500.0,127.58,26.3,73870.0,66897.0,DLH3A_603,0.021605341089018668
325.0,-12921.548304669126,11004.47749322293,5809.035262822911,51.89688066810241,5.682085581699085,19059.0,0.82,505.63,3500.0,127.03,26.19,73844.0,66575.0,DLH3A_603,0.021000195387660927
345.0,-8722.996752853325,7837.677957442254,6170.19496645833,51.868482754540835,5.743355068896042,20243.0,0.82,503.25,3500.0,126.76,26.05,73818.0,66163.0,DLH3A_603,0.010664032517059312
366.0,-4529.551565642872,4705.62756154217,6531.354668644521,51.84036552679703,5.804472412611376,21428.0,0.82,500.86,3500.0,126.75,25.87,73792.0,65662.0,DLH3A_603,0.0
386.0,-355.85061423594567,1589.0251315633814,6892.514369430491,51.812355581149276,5.865226205833093,22613.0,0.82,498.47,3500.0,126.75,25.67,73766.0,65074.0,DLH3A_603,0.0
406.0,3797.67127201722,-1512.509105577291,7253.6740699870525,51.78444994180927,5.925611230943795,23798.0,0.82,496.06,3500.0,126.75,25.43,73741.0,64401.0,DLH3A_603,0.0
427.0,7930.915585015306,-4598.901593595342,7614.833770303575,51.7566498588162,5.985627253965191,24983.0,0.82,493.63,3500.0,126.75,25.16,73716.0,63647.0,DLH3A_603,0.0
447.0,12043.782360587213,-7670.077687344727,7975.993470372886,51.72895653862073,6.045274047200068,26168.0,0.82,491.2,3117.0,126.75,24.85,73691.0,62813.0,DLH3A_603,0.0
467.0,16139.390812801585,-10728.366579169067,8297.634241011943,51.70134945973184,6.104597934546002,27223.0,0.82,489.02,2617.0,126.75,24.56,73666.0,62007.0,DLH3A_603,0.0
488.0,20220.546929058324,-13775.86356760455,8567.68077481342,51.67381012097992,6.163640483389986,28109.0,0.8157,484.62,2117.0,126.75,24.32,73642.0,61378.0,DLH3A_603,0.0
508.0,24268.235466871865,-16798.36951644256,8786.133069069543,51.64646742110793,6.222127942072067,28826.0,0.8075,478.32,1617.0,126.75,24.15,73618.0,60921.0,DLH3A_603,0.0
528.0,28266.256762198376,-19783.787749079063,8952.991123153315,51.61943174802249,6.279828482641753,29373.0,0.7992,472.26,1117.0,126.75,23.6,73594.0,59465.0,DLH3A_603,0.0
