ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-76224.47976317519,54836.07401219002,30.480000007773498,52.316616321712445,4.746295811618586,100.0,0.5,330.63,3500.0,124.26,36.37,75324.0,107773.0,AUA3NA_1248,0.03826256029131604
21.0,-73322.9212942401,52859.878851176596,400.2381587717339,52.29924109237167,4.78940945024779,1313.0,0.5532,364.26,3500.0,119.26,35.28,75289.0,99578.0,AUA3NA_1248,0.03401057148876423
42.0,-69945.4412513618,50967.778269289316,769.9963179325929,52.282667091582994,4.839467086995094,2526.0,0.6053,396.93,3500.0,114.26,33.98,75255.0,92274.0,AUA3NA_1248,0.028661021681551328
62.0,-66096.69444846318,49233.396414100076,1139.75447712011,52.26754701206652,4.896380808531166,3739.0,0.6552,427.8,3500.0,109.26,32.58,75222.0,85868.0,AUA3NA_1248,0.025223613538094252
83.0,-61799.3270074273,47732.01389883169,1509.5126362833312,52.25454539162503,4.959802746619327,4952.0,0.702,456.37,3500.0,104.26,31.15,75191.0,80302.0,AUA3NA_1248,0.02329782912545887
104.0,-57090.99508106639,46535.54866553392,1879.2707953984543,52.24429460797832,5.029171074547118,6166.0,0.7453,482.45,3500.0,99.26,29.75,75162.0,75482.0,AUA3NA_1248,0.02171405259342796
125.0,-52020.91204566446,45709.10503046038,2249.028954444096,52.23736504045756,5.103761891787045,7379.0,0.7852,506.03,3500.0,94.26,28.43,75133.0,71312.0,AUA3NA_1248,0.02020987677488056
146.0,-46646.54014926745,45308.96407683386,2618.787113410159,52.23424809676868,5.182737999228202,8592.0,0.82,526.15,3500.0,89.26,27.25,75106.0,67810.0,AUA3NA_1248,0.01870786972786838
166.0,-41042.62650086285,45381.538702817634,2988.5452721963206,52.23534684354858,5.265015624284523,9805.0,0.82,523.81,3500.0,88.46,26.92,75079.0,66861.0,AUA3NA_1248,0.01611437437952115
187.0,-35465.360365024404,45531.01283527335,3358.3034308268266,52.23707843283123,5.3468978067626125,11018.0,0.82,521.46,3500.0,93.46,26.95,75052.0,66961.0,AUA3NA_1248,0.013935558453676172
208.0,-29921.471986801516,45195.354395319206,3728.0615893439544,52.23438895494095,5.42833921285793,12231.0,0.82,519.1,3500.0,98.46,27.03,75025.0,67173.0,AUA3NA_1248,0.012162271052879847
