fid,latitude,longitude,tow,altitude,runway
DLH3A_603,51.279510498046875,6.9945051863386825,74329.8163652355,31000.000000000004,18L
EIN60Y_1710,53.110198974609375,2.006966727120536,75716.48137868047,34725.0,24
EIN611_1579,53.128905215505824,2.0040355009191178,78000.0,31850.0,36L
EIN84T_1587,51.768509169756356,2.00592041015625,74203.55064348459,36000.0,24
EIN84X_1515,51.78168345305879,2.0110321044921875,78000.0,33950.0,36L
EJU42KM_1219,52.362030029296875,6.970977783203125,78000.0,31650.0,18L
EJU5284_1390,52.3564453125,6.981964111328125,72248.15030755458,32675.0,18L
EZS39RG_1538,51.08619689941406,6.99420825855152,63606.039218477,34975.0,18L
EZY84JU_960,53.04290771484375,2.0212554931640625,66657.33572743222,32000.0,18C
ITY113_1804,50.51718501721398,5.88599952491554,57298.556569325665,34775.0,18L
SAS62L_1257,53.62771244372352,6.988031723920036,60183.62043405455,36975.0,36L
TRA6875_1499,51.30157470703125,6.967262061866554,78000.0,29850.0,36L
VLG12BR_219,50.503875732421875,3.7777790270353617,71212.99576300917,32975.0,18L
