fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,1092.5946968558305,0.2878048220393031,417064.7222036123,301415.5534911752,N,n
AUA3NA_1264,1038.8025696201912,0.2986050328518163,458068.7917840481,304844.8265147805,N,n
EIN611_1587,1025.1855961425235,0.21205666902048106,509794.8471439481,297438.8199492097,N,n
EIN611_1606,1045.257112431028,0.21244078596123026,522308.4272840619,303443.05196386576,N,n
EIN84T_1564,1030.7747441835463,0.208237426417993,371622.65212476254,223584.2794636488,N,n
EIN84T_1633,1056.6838802647555,0.2141357736710695,416903.39593172073,238607.57365214825,N,n
EIN84X_1589,1069.1772911058395,0.21304528725101765,417823.789290905,241815.40275466442,N,n
EJU13CB_1081,1157.2413170270697,0.2713279928418406,289708.0544112325,231513.02293646336,N,n
EJU78CP_1097,1198.533752725767,0.2799031953438616,308255.29856568575,223135.8848668337,N,n
VLG139G_110,1245.1909974387158,0.27247464629622614,314176.7574597001,256334.16425329447,N,n
VLG49VA_328,1043.9397858821585,0.32578538008605673,379888.18402177095,279999.34376055,N,n
