fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,950.6826725426707,0.3525080673342751,13915.726576805115,13915.726576805115,N,f
AUA3NA_1264,912.5171466835852,0.3657403724116893,12377.299513816833,12377.299513816833,N,f
EIN611_1587,968.4429122375541,0.21111642241461476,5175.117883682251,5175.117883682251,N,f
EIN611_1606,987.7965045293586,0.21100797255441164,5175.117883682251,5175.117883682251,N,f
EIN84T_1564,933.2142125557152,0.24114766078647912,30141.74920272827,30141.74920272827,N,f
EIN84T_1633,960.2016732566428,0.24714812953700252,29619.30437850952,29619.30437850952,N,f
EIN84X_1589,973.4266698598444,0.24231218290737266,27612.334899902344,27612.334899902344,N,f
EJU13CB_1081,986.1927489847274,0.29831634454394396,4933.91566324234,4933.91566324234,N,f
EJU78CP_1097,1045.975131129554,0.2962639741389953,4933.91566324234,4933.91566324234,N,f
VLG139G_110,1011.8609514578716,0.3464681344541217,1647.7274284362793,1647.7274284362793,N,f
VLG49VA_328,918.3038683136458,0.3915821633145977,4089.652015686035,4089.652015686035,N,f
AUA3NA_1248,1408.7172435326718,0.3458775610716056,32708.535215377808,21958.152309179306,N,r
AUA3NA_1264,1520.852781052718,0.4287157620779691,3958.918305516243,3533.763229906559,N,r
EIN611_1587,1540.5092842443078,0.2600519991456817,130461.73403066397,122365.38113063574,N,r
EIN611_1606,1536.3135501428603,0.3272687463162552,196945.20588433743,195168.98976880312,N,r
EIN84T_1564,1500.9466738968526,0.3135341096130031,15234.954414367676,13373.178308963776,N,r
EIN84T_1633,1604.300364087907,0.37530337561153626,6886.830059707165,6860.321849286556,N,r
EIN84X_1589,1551.9439916153092,0.38112040638527167,205988.20312845707,195409.43223410845,N,r
EJU13CB_1081,1485.0570528874264,0.3468078122553213,225019.12765997648,221962.7607356906,N,r
EJU78CP_1097,1447.3073048028964,0.374219317567748,26395.032150506973,18726.76350426674,N,r
VLG139G_110,1548.3226918539444,0.359429344808421,10006.59510165453,10006.59510165453,N,r
VLG49VA_328,1466.9334261078102,0.45632141255824277,1409.9697163701057,1248.941014289856,N,r
AUA3NA_1248,980.0681154222589,0.309281057807467,15968.842604637146,15968.842604637146,N,n
AUA3NA_1264,951.8968175300508,0.3096772007006139,11306.498854637146,11306.498854637146,N,n
EIN611_1587,969.0917570429747,0.2091551694884573,7626.024133682251,7626.024133682251,N,n
EIN611_1606,988.9963609264438,0.2088047373163049,7869.442651748657,7869.442651748657,N,n
EIN84T_1564,947.3182111955118,0.2120907703490355,21180.023860931396,21180.023860931396,N,n
EIN84T_1633,977.2061012011877,0.21742152701174883,31144.22771835327,31144.22771835327,N,n
EIN84X_1589,988.9235152697919,0.2161152758050896,28203.872859954834,28203.872859954834,N,n
EJU13CB_1081,1008.3032785417045,0.2859056633105296,3928.4682145118713,3928.4682145118713,N,n
EJU78CP_1097,1053.1188965133465,0.2894420880456038,5177.957411289215,5177.957411289215,N,n
VLG139G_110,1030.4442065294008,0.30769824148640446,743.4138298034668,743.4138298034668,N,n
VLG49VA_328,947.052753888014,0.334361139451171,1537.7566032409668,1537.7566032409668,N,n
AUA3SV_1122,942.0397539455935,0.4173699133866202,16252.506771191955,16252.506771191955,D,f
DLH4UX_557,971.1488077405952,0.40373296872783193,12857.62678347528,12857.62678347528,D,f
EIN60R_1659,974.2502745628148,0.2090459411882861,6341.841612815857,6341.841612815857,D,f
EIN611_1579,1001.5164273700549,0.20670425560427808,7021.144896507263,7021.144896507263,D,f
EIN84X_1515,977.8133183734842,0.26123512714015473,33845.48962402344,33845.48962402344,D,f
EZY16MH_978,923.5364784950541,0.20343438355259874,9391.016661643982,9391.016661643982,D,f
ITY109_1534,947.9278104990624,0.3815957720709419,21093.89236354828,21093.89236354828,D,f
ITY121_1784,986.175720511601,0.34343406719947367,24306.18197631836,24306.18197631836,D,f
VLG41JT_193,951.0588332052605,0.38609828755460207,11132.823693275452,11132.823693275452,D,f
VLG8379_316,955.1841323355723,0.26163606457668,42099.77770996094,42099.77770996094,D,f
VLG98RR_135,966.622929980361,0.2638829127815706,37489.98864746094,37489.98864746094,D,f
AUA3SV_1122,1582.7306680806623,0.47021024673866596,224008.82470463216,219333.03015874326,D,r
DLH4UX_557,1461.7570627917241,0.5211727857900234,411496.8899924308,330508.58160065114,D,r
