fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
DLH3A_603,1046.1435203404058,0.6143043061476636,23232.023986816406,23232.023986816406,DN,n
EIN60Y_1710,998.7699519244877,0.4461562205582742,15544.8193359375,15544.8193359375,DN,n
EIN611_1579,996.9221629764743,0.44943963042822566,26829.661041259766,26829.661041259766,DN,n
EIN84T_1587,1046.7804736396488,0.46282664755226144,37806.16616821289,37806.16616821289,DN,n
EIN84X_1515,1063.9115043424645,0.4736672562996626,40545.58657836914,40545.58657836914,DN,n
EJU42KM_1219,858.4200001660975,0.7642630120742459,48952.54846191406,48952.54846191406,DN,n
EJU5284_1390,837.3545957315014,0.7390394251975798,41414.64813232422,41414.64813232422,DN,n
EZS39RG_1538,1159.2844475178442,0.5809907552514118,6365.71630859375,6365.71630859375,DN,n
EZY84JU_960,968.2282863633703,0.4402665740407413,15380.542724609375,15380.542724609375,DN,n
ITY113_1804,1163.379246336216,0.5427452842823118,0.0,0.0,DN,n
SAS62L_1257,1002.3004004371833,0.5309564595825427,53552.51663208008,53552.51663208008,DN,n
TRA6875_1499,1047.8628844983195,0.6163051082516791,22725.66660308838,22725.66660308838,DN,n
VLG12BR_219,1179.5531501008836,0.6146348022917283,19169.712783813477,19169.712783813477,DN,n
