fid,costs_r,costs_n,costs_f,noises_r,noises_n,noises_f,fuels_r,fuels_n,fuels_f,noise_nr,noise_nf,fuel_nr,fuel_nf
DLH3A_603,0.8092715398751066,0.6143043061476636,0.7036623692488672,84302.40914867945,50667.79256080207,57272.35863282462,1462.0972508513628,1055.6599999999999,948.88,0.6010242539028999,0.8846814374388754,0.7220176355473624,1.11253267009527
EIN60Y_1710,0.600575161338657,0.4461562205582742,0.4418024786174184,66061.50363084191,39687.90337292116,39457.74516440888,1577.3141646733445,1008.6700000000001,1009.83,0.600772025939661,1.0058330299299485,0.6394857933764208,0.9988512918015904
EIN611_1579,0.6443800263121742,0.44943963042822566,0.44184181259735184,64147.62483214306,40046.958991734355,39684.63273178153,1594.2302374952951,1007.17,1011.4000000000001,0.6242937146391061,1.00913014018302,0.631759438700881,0.9958176784654933
EIN84T_1587,0.7328103967089536,0.46282664755226144,0.5361204712247025,80639.45711829595,40554.65143843877,45873.38581680943,1465.1675796356442,1056.57,984.02,0.5029132497624106,0.8840562063674465,0.7211257024010498,1.07372817625658
EIN84X_1515,0.685799523444983,0.4736672562996626,0.539749190516937,70413.04445612914,41732.74646567175,46644.82797099868,1576.065278759617,1073.83,987.28,0.5926848751962904,0.8946918293196191,0.681335991898202,1.0876651000729276
EJU42KM_1219,0.9041595389855925,0.7642630120742459,0.8229688036320695,105713.15654255459,64479.15854420379,68942.00600683024,1219.8964061775882,864.48,811.13,0.6099445012622232,0.9352666433555138,0.7086503375387041,1.0657724409157596
EJU5284_1390,0.8432291354678225,0.7390394251975798,0.8192674246616235,78261.27101889162,61478.215944319294,67627.86943537818,1276.4217940562612,844.37,806.27,0.7855509518811541,0.90906628373181,0.6615133053445673,1.047254641745321
EZS39RG_1538,0.6626936466427007,0.5809907552514118,0.6569533301400922,68796.55999489382,47405.262633875056,52331.16572243284,1418.324805506713,1167.01,973.96,0.6890644334163444,0.9058705644990784,0.8228087074759101,1.1982114255205552
EZY84JU_960,0.5671224907610615,0.4402665740407413,0.4399931520995912,51732.165947347785,38467.64471512238,38423.322618763705,1436.9675415108366,978.23,951.79,0.7435923861041148,1.0011535206571913,0.6807599836051154,1.0277792370165688
ITY113_1804,0.7889026100513653,0.5427452842823118,0.6150322965012873,62370.08131940011,45308.398736274365,48163.053065431945,1965.2212111987915,1171.0500000000002,977.4300000000001,0.7264444390291546,0.9407293735038061,0.5958871160797495,1.1980909118811578
SAS62L_1257,0.6747381634282501,0.5309564595825427,0.5585645357488018,79620.17445083095,43896.916681889,46054.41221335841,1552.9125462997063,1014.32,979.74,0.5513290693553721,0.9531533369381792,0.6531726480135219,1.035295078286076
TRA6875_1499,0.9663987997365945,0.6163051082516791,0.7148401850839785,88409.16878435918,51303.873338711266,58685.83354679463,1675.3450943998942,1057.76,949.06,0.5803003697936321,0.874212228711088,0.6313684288304123,1.1145343813878996
VLG12BR_219,0.8009820501753038,0.6146348022917283,0.7169696782346484,78703.27898005539,49446.71604961863,56983.69872940031,2228.886023229559,1187.2,1011.55,0.6282675473044673,0.8677344074210994,0.532642758591935,1.173644407098018
